antes,despues
CERRADO__Espera__13.wav,CE__13.wav
COLAPSO__Bloqueo__14.wav,CO__14.wav
SELVA_HOSTIL__Enojo__15.wav,SH__15.wav
CERRADO__Retirada__18.wav,CE__18.wav
CERRADO__Cierre__19.wav,CE__19.wav
COLAPSO__Dolor__22.wav,CO__22.wav
CERRADO__Silencio__6.wav,SH__6.wav
COLAPSO__Dolor__7.wav,SH__7.wav
CERRADO__Pausa__acknowledged.wav,SH__acknowledged.wav
SELVA_HOSTIL__Cuidado__acuerdo.wav,CO__acuerdo.wav
SELVA_HOSTIL__Defensa__afirmacion.wav,CO__afirmacion.wav
SELVA_HOSTIL__Defensa__alegria.wav,CO__alegria.wav
SELVA_HOSTIL__Enojo__alerta.wav,CO__alerta.wav
SELVA_HOSTIL__Choque__asombro.wav,CO__asombro.wav
SELVA_HOSTIL__Enojo__atencion.wav,CO__atencion.wav
SELVA_HOSTIL__Tension__bateria_baja.wav,CO__bateria_baja.wav
SELVA_HOSTIL__Tension__calma.wav,CO__calma.wav
CERRADO__Reposo__chat.wav,SH__chat.wav
SELVA_HOSTIL__Enojo__compania.wav,CO__compania.wav
SELVA_HOSTIL__Alerta__comprension.wav,CO__comprension.wav
SELVA_HOSTIL__Choque__confusion.wav,SH__confusion.wav
SELVA_HOSTIL__Cuidado__curiosidad.wav,CO__curiosidad.wav
SELVA_HOSTIL__Amenaza__desacuerdo.wav,CO__desacuerdo.wav
SELVA_HOSTIL__Peligro__despedida.wav,SH__despedida.wav
SELVA_HOSTIL__Huida__despertar.wav,SH__despertar.wav
COLAPSO__Perdida__dolor.wav,SH__dolor.wav
SELVA_HOSTIL__Alerta__duda.wav,CO__duda.wav
SELVA_HOSTIL__Peligro__energia_plena.wav,CO__energia_plena.wav
CERRADO__Quietud__excited.wav,SH__excited.wav
CERRADO__Silencio__excited-2.wav,SH__excited-2.wav
SELVA_HOSTIL__Alerta__exploracion.wav,CO__exploracion.wav
SELVA_HOSTIL__Choque__fatiga.wav,SH__fatiga.wav
SELVA_HOSTIL__Amenaza__fon_afirmativa.wav,CO__fon_afirmativa.wav
SELVA_HOSTIL__Defensa__fon_alarma.wav,CO__fon_alarma.wav
SELVA_HOSTIL__Huida__fon_atencion.wav,CO__fon_atencion.wav
SELVA_HOSTIL__Amenaza__fon_curioso.wav,CO__fon_curioso.wav
SELVA_HOSTIL__Tension__fon_espacio_timbre.wav,CO__fon_espacio_timbre.wav
SELVA_HOSTIL__Alerta__fon_espacio_tono.wav,CO__fon_espacio_tono.wav
SELVA_HOSTIL__Huida__fon_frustracion.wav,CO__fon_frustracion.wav
SELVA_HOSTIL__Defensa__fon_interrogacion.wav,CO__fon_interrogacion.wav
SELVA_HOSTIL__Defensa__fon_negativa.wav,CO__fon_negativa.wav
SELVA_HOSTIL__Enojo__fon_novedad.wav,CO__fon_novedad.wav
SELVA_HOSTIL__Peligro__fon_saludo.wav,CO__fon_saludo.wav
SELVA_HOSTIL__Huida__fon_sirena.wav,CO__fon_sirena.wav
SELVA_HOSTIL__Choque__fon_ternura.wav,CO__fon_ternura.wav
SELVA_HOSTIL__Alerta__fon_wobble.wav,CO__fon_wobble.wav
SELVA_HOSTIL__Enojo__frustracion.wav,CO__frustracion.wav
SELVA_HOSTIL__Peligro__hallazgo.wav,CO__hallazgo.wav
SELVA_HOSTIL__Amenaza__hambre.wav,CO__hambre.wav
SELVA_HOSTIL__Choque__insistencia.wav,SH__insistencia.wav
SELVA_HOSTIL__Defensa__llamada.wav,CO__llamada.wav
SELVA_HOSTIL__Peligro__miedo.wav,SH__miedo.wav
SELVA_HOSTIL__Choque__negacion.wav,CO__negacion.wav
SELVA_HOSTIL__Choque__novedad.wav,CO__novedad.wav
SELVA_HOSTIL__Huida__peligro.wav,CO__peligro.wav
SELVA_HOSTIL__Enojo__precaucion.wav,CO__precaucion.wav
SELVA_HOSTIL__Tension__pregunta.wav,CO__pregunta.wav
SELVA_HOSTIL__Choque__reconocimiento.wav,CO__reconocimiento.wav
SELVA_HOSTIL__Huida__respuesta.wav,SH__respuesta.wav
SELVA_HOSTIL__Huida__retirada.wav,CO__retirada.wav
SELVA_HOSTIL__Peligro__saciedad.wav,CO__saciedad.wav
SELVA_HOSTIL__Alerta__saludo.wav,CO__saludo.wav
SELVA_HOSTIL__Amenaza__satisfaccion.wav,CO__satisfaccion.wav
CERRADO__Dormir__screaming.wav,CE__screaming.wav
CERRADO__Pausa__shout.wav,SH__shout.wav
COLAPSO__Dolor__sing.wav,SH__sing.wav
SELVA_HOSTIL__Peligro__ternura.wav,SH__ternura.wav
SELVA_HOSTIL__Peligro__tristeza.wav,SH__tristeza.wav
SELVA_HOSTIL__Alerta__urgencia.wav,CO__urgencia.wav
CERRADO__Dormir__worried.wav,CO__worried.wav
